NOME FANTASIA;CNES;CNPJ;UF;MUNICIPIO;DATA DE ATUALIZAÇÃO
LABORFISIO;6082408;10281761000112;MG;SAO JOAO EVANGELISTA;30/08/2018
LABORGUIMA;2098105;20322145000116;MG;VICOSA;30/08/2018
LABORION;2795698;00878165000160;MT;SINOP;30/08/2018
LABORM ANALISES CLINICAS;7101651;44088037000199;SP;SAO PAULO;30/08/2018
LABORMAN LABORATORIO DE ANALISES CLINICAS JUINA;2699664;14974505000161;MT;JUINA;30/08/2018
LABORMAR;3239438;00284997000159;SC;CAMBORIU;30/08/2018
LABORMAT;3165787;01973999000118;MT;RONDONOPOLIS;30/08/2018
LABORMED LABORATORIOS MEDICOS VILA ISABEL;3379310;28017218000178;RJ;RIO DE JANEIRO;30/08/2018
LABORMONTE;6422209;11255183000102;MG;MONTE CARMELO;30/08/2018
LABORNIL LABORATORIO;7576544;20531177000121;RJ;NOVA IGUACU;30/08/2018
LABORPRATA;2145650;00898150000164;MG;PRATA;30/08/2018
LABORRITT;2260107;87696357000134;RS;GIRUA;30/08/2018
LABORSAD LABORATORIO DE ANALISES CLINICAS LTDA EPP;2672502;81372641000179;SC;GUARAMIRIM;30/08/2018
LABORSOL NOVA ESPERANCA;2734281;01948225000137;PR;NOVA ESPERANCA;30/08/2018
LABORTEL;2485931;27414515000194;ES;VILA VELHA;30/08/2018
LABORTEST;2243199;91111823000140;RS;SANTIAGO;30/08/2018
LABORTESTE LABORATORIO DE ANALISES CLINICAS;2397285;00807952000111;MT;JACIARA;30/08/2018
LABORVIDA;2251647;88279781000146;RS;TAQUARI;30/08/2018
LABORVIDA;6460313;00553450000101;MG;CARMO DO PARANAIBA;30/08/2018
LABOTIM LABORATORIO DE ANALISES CLINICAS LTDA;2537184;03295188000130;SC;TIMBO;30/08/2018
LABOVITAE;7995522;24313585000168;RS;VENANCIO AIRES;30/08/2018
LABPAC;3287009;06948391000157;SE;ARACAJU;30/08/2018
LABPAC;3207730;00530066000193;PE;NAZARE DA MATA;30/08/2018
LABPREV;3051315;05736347000110;PE;PETROLINA;30/08/2018
LABSAL;7154569;17270066000102;RS;ARROIO DO SAL;30/08/2018
LABSAL LABORATORIO DE ANALISES CLINICAS SAO LUCAS;17922;79845608000177;PR;PATO BRANCO;30/08/2018
LABSAUDE PIRACICABA;6605583;12053193000128;SP;PIRACICABA;30/08/2018
LABSCA;2521784;83620153000169;SC;SAO BENTO DO SUL;30/08/2018
LABSER;5109035;07839411000114;SC;CAMPO ALEGRE;30/08/2018
LABVIDA;7510195;63824726000169;PA;ALMEIRIM;30/08/2018
LABVIDA;3109666;05823635000102;PR;URAI;30/08/2018
