Nome_Fantasia;Cnes;Cnpj;UF;Municipio
HOSPITAL COMUNITARIO DE CARAZINHO;2262274;88450234000181;RS;CARAZINHO
HOSPITAL COMUNITARIO SAO PEREGRINO LAZZIOZI;2707977;87873279000104;RS;VERANOPOLIS
HOSPITAL CONEGO UBIRAJARA CABRAL;2761114;16698771000134;MG;ALPINOPOLIS
HOSPITAL CRISTO REDENTOR MARAU;2246953;88417787000132;RS;MARAU
HOSPITAL CRUZEIRO DO SUL;2079887;61613287000110;SP;OSASCO
HOSPITAL DA BALEIA;2695324;17200429000125;MG;BELO HORIZONTE
HOSPITAL DA DIVINA PROVIDENCIA;2619717;7277622000453;PA;MARITUBA
HOSPITAL DA MULHER;5101344;331474000116;RR;BOA VISTA
HOSPITAL DAS CLIN SAMUEL LIBANIO POUSO ALEGRE;2127989;23951916000475;MG;POUSO ALEGRE
HOSPITAL DAS CLINICAS DE TERESOPOLIS;2297795;32190092000378;RJ;TERESOPOLIS
HOSPITAL DE ANDIRA;2582554;78038114000118;PR;ANDIRA
HOSPITAL DE AVILA;3008002;35716166000193;PE;RECIFE
HOSPITAL DE BASE DE SAO JOSE DO RIO PRETO;2077396;60003761000129;SP;SAO JOSE DO RIO PRETO
HOSPITAL DE CANCER;2506815;1585595000157;GO;GOIANIA
HOSPITAL DE CANCER DE MATO GROSSO;2534444;24672792000109;MT;CUIABA
HOSPITAL DE CANELA;2235609;88210794000169;RS;CANELA
HOSPITAL DE CARIDADE DE CRISSIUMAL;2708000;89051247000140;RS;CRISSIUMAL
HOSPITAL DE CARIDADE DE IJUI;2261057;90730508000138;RS;IJUI
HOSPITAL DE CARIDADE E BENEFICENCIA;2266474;87768735000148;RS;CACHOEIRA DO SUL
HOSPITAL DE CARIDADE SAO VICENTE DE PAULO;2741989;77893469000121;PR;GUARAPUAVA
HOSPITAL DE CARIDADE SERRO AZUL;2259869;91554097000130;RS;CERRO LARGO
HOSPITAL DE CLINICAS ALAMEDA;3013383;30110902000141;RJ;NITEROI
HOSPITAL DE CLINICAS MARQUES DE VALENCA;3211649;368318000391;RJ;VALENCA
HOSPITAL DE CLINICAS NOSSA SENHORA DA CONCEICAO;2294923;60922168002553;RJ;TRES RIOS
HOSPITAL DE IRAJA;3058212;4090612000173;RJ;RIO DE JANEIRO
HOSPITAL DE NOSSA SENHORA DA SAUDE;2761203;20081238000104;MG;DIAMANTINA
HOSPITAL DE OLHOS DE CASCAVEL;2738090;81270209000177;PR;CASCAVEL
HOSPITAL DE QUEIMADURAS ANAPOLIS;2535262;33322546000118;GO;ANAPOLIS
HOSPITAL DE SANTOS DUMONT;2796562;24573438000127;MG;SANTOS DUMONT
HOSPITAL DE TUNAPOLIS;2378140;83428508000112;SC;TUNAPOLIS
HOSPITAL DILSON GODINHO;2219646;991591000106;MG;MONTES CLAROS
HOSPITAL DIVINA PROVIDENCIA;2237598;87317764000193;RS;PORTO ALEGRE
HOSPITAL DO CANCER DE MARINGA;2586169;78189537000139;PR;MARINGA
HOSPITAL DO CIRCULO;2223570;88645403001372;RS;CAXIAS DO SUL
HOSPITAL DO CORACAO;2081288;60453024000128;SP;SAO PAULO
HOSPITAL DO CORACAO;2519275;2531747000100;GO;GOIANIA
HOSPITAL DO CORACAO;2425300;7818313000796;CE;SOBRAL
HOSPITAL DO CORACAO DE LONDRINA;2758083;4762301000103;PR;LONDRINA
HOSPITAL DO CORACAO DO IMC;2080761;1227786000147;SP;SAO JOSE DO RIO PRETO
HOSPITAL DO CORACAO SAMCORDIS;3029131;30358881000188;RJ;SAO GONCALO
HOSPITAL DO RIM;2665271;2060226000103;GO;GOIANIA
HOSPITAL DOM JOAO BECKER;2232049;92812049000914;RS;GRAVATAI
HOSPITAL DOS FORNECEDORES DE CANA DE PIRACICABA;2087057;54384631000261;SP;PIRACICABA
HOSPITAL DR OSVALDO TEIXEIRA;5050170;8139573000102;RS;TUCUNDUVA
HOSPITAL DR PACIFICO MASCARENHAS;2127091;23221286000130;MG;CAETANOPOLIS
HOSPITAL E CLINICAS SANTA PAULA;3050297;23953466000107;MG;POUSO ALEGRE
HOSPITAL E MATERNIDADE DR LIMA LTDA;3014509;5149979000188;PR;CASCAVEL
HOSPITAL E MATERNIDADE MARIA AUXILIADORA;2377330;86185220001043;SC;PRESIDENTE GETULIO
HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN;2522691;60194990002200;SC;ITAJAI
HOSPITAL E MATERNIDADE MED CENTER LTDA;5406978;42938662000157;MG;PATROCINIO
HOSPITAL E MATERNIDADE MUNICIPAL N S DO MONTE SERRAT;3774554;60975737007598;SP;SALTO
HOSPITAL E MATERNIDADE NOVA VIDA;2746387;56339211000108;SP;ITAPEVI
HOSPITAL E MATERNIDADE PRAIA DA COSTA;34215997;39298922000162;ES;VILA VELHA
HOSPITAL E MATERNIDADE SAGRADA FAMILIA;2521792;84942887000399;SC;SAO BENTO DO SUL
HOSPITAL E MATERNIDADE SANTA CLARA;2151871;25761040000187;MG;UBERLANDIA
HOSPITAL E MATERNIDADE SANTA ISABEL DE JABOTICABAL;2025477;56896368000134;SP;JABOTICABAL
HOSPITAL E MATERNIDADE SANTA LUIZA;3425398;2616844000197;SC;BALNEARIO CAMBORIU
HOSPITAL E MATERNIDADE SANTA RITA;2743469;4792670000149;PR;MARINGA
HOSPITAL E MATERNIDADE SAO JOSE;2098547;20545232000132;MG;FRUTAL
HOSPITAL ENCORE;2589761;26878439000105;GO;APARECIDA DE GOIANIA
HOSPITAL ERASTO GAERTNER;15644;76591049000128;PR;CURITIBA
HOSPITAL ESPIRITA ANDRE LUIZ;27812;17308883000102;MG;BELO HORIZONTE
HOSPITAL ESPIRITA DE PSIQUIATRIA BOM RETIRO;16365;76544741000600;PR;CURITIBA
